,precision,recall,f1-score,support
dunya,0.6632653061224489,0.50682261208577,0.574585635359116,1026.0
ekonomi,0.8585298196948682,0.514546965918537,0.6434511434511435,1203.0
magazin,0.8563218390804598,0.26371681415929205,0.4032476319350474,565.0
otomobil,0.7541254125412541,0.6700879765395894,0.7096273291925466,682.0
saglik,0.78287841191067,0.5913776944704779,0.6737853710624666,1067.0
sanat,0.6190476190476191,0.7774687065368567,0.689272503082614,719.0
spor,0.9058679706601467,0.75,0.8205980066445183,988.0
teknoloji,0.286925479696564,0.800747198007472,0.4224704336399474,803.0
accuracy,0.6123635332482632,0.6123635332482632,0.6123635332482632,0.6123635332482632
macro avg,0.7158702323442538,0.6093459959647494,0.6171297567959251,7053.0
weighted avg,0.7255468830881389,0.6123635332482632,0.6295062877386234,7053.0
