,precision,recall,f1-score,support
dunya,0.8118022328548644,0.49610136452241715,0.6158499697519662,1026.0
ekonomi,0.8648648648648649,0.7182044887780549,0.784741144414169,1203.0
magazin,0.723404255319149,0.7823008849557522,0.7517006802721088,565.0
otomobil,0.8967213114754098,0.8020527859237536,0.846749226006192,682.0
saglik,0.7775800711743772,0.8191190253045924,0.7978092195344592,1067.0
sanat,0.7102473498233216,0.8386648122392212,0.7691326530612245,719.0
spor,0.956271576524741,0.8410931174089069,0.8949919224555736,988.0
teknoloji,0.4750733137829912,0.8069738480697385,0.5980618366405168,803.0
accuracy,0.7540053877782504,0.7540053877782504,0.7540053877782504,0.7540053877782504
macro avg,0.7769956219774649,0.7630637909003046,0.7573795815170263,7053.0
weighted avg,0.788353159090215,0.7540053877782504,0.758097832296676,7053.0
