,precision,recall,f1-score,support
dunya,0.8547595682041217,0.8489278752436648,0.8518337408312959,1026.0
ekonomi,0.8433141919606235,0.8545303408146301,0.8488852188274153,1203.0
magazin,0.8204697986577181,0.8654867256637168,0.8423772609819121,565.0
otomobil,0.9044006069802731,0.873900293255132,0.8888888888888888,682.0
saglik,0.8458781362007168,0.8847235238987816,0.8648648648648648,1067.0
sanat,0.8849431818181818,0.866481223922114,0.8756148981026002,719.0
spor,0.9749216300940439,0.944331983805668,0.9593830334190231,988.0
teknoloji,0.768837803320562,0.7496886674968867,0.7591424968474149,803.0
accuracy,0.8628952218913938,0.8628952218913938,0.8628952218913938,0.8628952218913938
macro avg,0.8621906146545302,0.8610088292625743,0.8613738003454269,7053.0
weighted avg,0.8636441777627931,0.8628952218913938,0.8630647236002186,7053.0
