,precision,recall,f1-score,support
dunya,0.8710629921259843,0.8625730994152047,0.8667972575905974,1026.0
ekonomi,0.8484602917341977,0.8703241895261845,0.8592531801395158,1203.0
magazin,0.887189292543021,0.8212389380530973,0.8529411764705882,565.0
otomobil,0.9210526315789473,0.8724340175953079,0.8960843373493975,682.0
saglik,0.8409893992932862,0.8922211808809747,0.8658481127785357,1067.0
sanat,0.8520942408376964,0.9054242002781642,0.8779501011463251,719.0
spor,0.9594320486815415,0.9574898785425101,0.9584599797365755,988.0
teknoloji,0.8085106382978723,0.7571606475716065,0.7819935691318327,803.0
accuracy,0.8716858074578193,0.8716858074578193,0.8716858074578193,0.8716858074578193
macro avg,0.8735989418865684,0.8673582689828813,0.8699159642929211,7053.0
weighted avg,0.87210726793704,0.8716858074578193,0.8714110590990312,7053.0
