,precision,recall,f1-score,support
dunya,0.8322399250234301,0.8654970760233918,0.8485427615862399,1026.0
ekonomi,0.7207207207207207,0.9310058187863675,0.8124773304316286,1203.0
magazin,0.9656084656084656,0.6460176991150443,0.7741251325556734,565.0
otomobil,0.9368421052631579,0.782991202346041,0.853035143769968,682.0
saglik,0.7914213624894869,0.8819119025304593,0.8342198581560283,1067.0
sanat,0.855944055944056,0.8511821974965229,0.8535564853556485,719.0
spor,0.9130019120458891,0.9665991902834008,0.9390363815142576,988.0
teknoloji,0.9101123595505618,0.6052303860523038,0.7270007479431563,803.0
accuracy,0.836665248830285,0.836665248830285,0.836665248830285,0.836665248830285
macro avg,0.865736363330721,0.8163044340791914,0.8302492301640751,7053.0
weighted avg,0.8504376538749215,0.836665248830285,0.8340472163617524,7053.0
