,precision,recall,f1-score,support
dunya,0.7908496732026143,0.8255360623781677,0.8078206962327135,1026.0
ekonomi,0.825571549534293,0.8104738154613467,0.8179530201342282,1203.0
magazin,0.7210776545166403,0.8053097345132744,0.7608695652173914,565.0
otomobil,0.8644578313253012,0.841642228739003,0.8528974739970283,682.0
saglik,0.7628951747088186,0.85941893158388,0.8082855883649185,1067.0
sanat,0.8586466165413534,0.7941585535465925,0.8251445086705204,719.0
spor,0.9544008483563097,0.9109311740890689,0.9321595028482652,988.0
teknoloji,0.7413793103448276,0.6425902864259029,0.6884589726484323,803.0
accuracy,0.8159648376577343,0.8159648376577343,0.8159648376577343,0.8159648376577343
macro avg,0.8149098323162698,0.8112575983421546,0.8116986660141872,7053.0
weighted avg,0.8182610446124865,0.8159648376577343,0.8158109552729744,7053.0
