,precision,recall,f1-score,support
dunya,0.7849954254345837,0.8362573099415205,0.8098159509202453,1026.0
ekonomi,0.8274111675126904,0.8129675810473815,0.8201257861635222,1203.0
magazin,0.6453804347826086,0.8407079646017699,0.7302075326671791,565.0
otomobil,0.8726993865030674,0.8343108504398827,0.853073463268366,682.0
saglik,0.8149861239592969,0.8256794751640113,0.8202979515828679,1067.0
sanat,0.8428571428571429,0.8205841446453408,0.8315715292459478,719.0
spor,0.9651898734177216,0.9261133603238867,0.9452479338842976,988.0
teknoloji,0.7655068078668684,0.6301369863013698,0.6912568306010929,803.0
accuracy,0.8183751595065929,0.8183751595065929,0.8183751595065929,0.8183751595065929
macro avg,0.8148782952917475,0.8158447090581453,0.8126996222916898,7053.0
weighted avg,0.822985383509652,0.8183751595065929,0.818657008623563,7053.0
