,precision,recall,f1-score,support
dunya,0.8715415019762845,0.8596491228070176,0.8655544651619234,1026.0
ekonomi,0.86756077116513,0.8603491271820449,0.8639398998330552,1203.0
magazin,0.8703703703703703,0.831858407079646,0.8506787330316742,565.0
otomobil,0.8992700729927007,0.9032258064516129,0.9012435991221653,682.0
saglik,0.8484304932735426,0.8865979381443299,0.8670944087992668,1067.0
sanat,0.8629776021080369,0.9109874826147427,0.8863328822733424,719.0
spor,0.958876629889669,0.9676113360323887,0.9632241813602016,988.0
teknoloji,0.8071808510638298,0.7559153175591532,0.7807073954983923,803.0
accuracy,0.8743796965830143,0.8743796965830143,0.8743796965830143,0.8743796965830143
macro avg,0.8732760366049455,0.8720243172338671,0.8723469456350026,7053.0
weighted avg,0.8739871265778247,0.8743796965830143,0.8739113576962925,7053.0
