,precision,recall,f1-score,support
dunya,0.8269961977186312,0.847953216374269,0.8373435996150144,1026.0
ekonomi,0.8217426059152678,0.8545303408146301,0.8378158109209454,1203.0
magazin,0.8943965517241379,0.7345132743362832,0.8066083576287658,565.0
otomobil,0.8739255014326648,0.8944281524926686,0.8840579710144928,682.0
saglik,0.7914213624894869,0.8819119025304593,0.8342198581560283,1067.0
sanat,0.8376891334250344,0.847009735744089,0.8423236514522822,719.0
spor,0.8780934922089826,0.9696356275303644,0.9215969215969215,988.0
teknoloji,0.8623063683304647,0.6239103362391034,0.7239884393063583,803.0
accuracy,0.8410605416134977,0.8410605416134977,0.8410605416134977,0.8410605416134977
macro avg,0.8483214016555838,0.8317365732577333,0.8359943262113511,7053.0
weighted avg,0.8429234598408221,0.8410605416134977,0.838410886343751,7053.0
